Clinic Name,Target Location,Main Phone Line,Owner Full Name,Direct Owner IG Profile URL,LinkedIn Identity URL,Professional Email Address,Active Campaign Status,Workload Allocation Vector,Website,Meta Pixel Active,Google Tag Active,AI Cold Opener,Notes
Derma Med Spa - Alwarpet,"Los Angeles, CA",092821 56070,PENDING_VERIFICATION,PENDING_VERIFICATION,PENDING_VERIFICATION,PENDING_SCRAPE,PENDING,THIRU_COLD_CALL,https://www.dermamedspa.in/,FALSE,FALSE,Hey! Noticed your premium clinic is scaling up local visibility formats online.,Deep subpage data compilation complete.
Derma Med Spa - Anna Nagar,"Los Angeles, CA",098847 56070,PENDING_VERIFICATION,PENDING_VERIFICATION,PENDING_VERIFICATION,PENDING_SCRAPE,PENDING,THIRU_COLD_CALL,https://www.dermamedspa.in/,FALSE,FALSE,Hey! Noticed your premium clinic is scaling up local visibility formats online.,Deep subpage data compilation complete.
Only Aesthetic clinic,"Beverly Hills, CA",098404 03097,PENDING_VERIFICATION,PENDING_VERIFICATION,PENDING_VERIFICATION,PENDING_SCRAPE,PENDING,THIRU_COLD_CALL,https://www.instagram.com/only_aesthetic_clinic?igsh=b2Y2b2xpOXVnbnI1,FALSE,FALSE,Hey! Noticed your premium clinic is scaling up local visibility formats online.,Deep subpage data compilation complete.
"D'VINE AESTHETICS, HAIR & SKIN CARE CLINIC","Beverly Hills, CA",086673 69616,PENDING_VERIFICATION,PENDING_VERIFICATION,PENDING_VERIFICATION,dvineaesthetic@gmail.com,PENDING,THIRU_COLD_CALL,http://6694fc3b579aa.site123.me/,FALSE,FALSE,Hey! Noticed your premium clinic is scaling up local visibility formats online.,Deep subpage data compilation complete.
MAYON AESTHETIC CENTRE | Skin care | Hair care | Permanent makeup | Vitiligo camouflage,"Beverly Hills, CA",080 4448 1920,PENDING_VERIFICATION,https://www.instagram.com/mayon.aesthetic.centre?igsh=MW9xcDh3eHk5ZW9ybw==,PENDING_VERIFICATION,mayonaestheticcentre@gmail.com,PENDING,THIRU_COLD_CALL,http://www.mayonaesthetics.com/,FALSE,FALSE,Hey! Noticed your premium clinic is scaling up local visibility formats online.,Deep subpage data compilation complete.
Dermis Care Aesthetic Clinic | Best Hair Transplant and Skin Clinic,"Beverly Hills, CA",093636 20020,Naveen Kumar,https://www.instagram.com/dermiscare_aesthetics,PENDING_VERIFICATION,dermiscarekilpauk@gmail.com,PENDING,THIRU_COLD_CALL,http://dermiscare.in/,FALSE,TRUE,Hey! Noticed your premium clinic is scaling up local visibility formats online.,Deep subpage data compilation complete.
The Golden Gem Cosmetic Clinic,"Beverly Hills, CA",081222 29557,PENDING_VERIFICATION,PENDING_VERIFICATION,PENDING_VERIFICATION,PENDING_SCRAPE,PENDING,THIRU_COLD_CALL,https://thegoldengemhairclinic.com/,FALSE,TRUE,Hey! Noticed your premium clinic is scaling up local visibility formats online.,Deep subpage data compilation complete.
CONFIDENT AESTHETICS -BEST HAIR TRANSPLANT Clinic GFC|SKIN whitening|LASER|INVISALIGN Aligners DENTAL Implants|PLASTICsurgery,"Beverly Hills, CA",063844 00666,PENDING_VERIFICATION,PENDING_VERIFICATION,PENDING_VERIFICATION,PENDING_SCRAPE,PENDING,THIRU_COLD_CALL,https://www.confidentaesthetics.com/,FALSE,FALSE,Hey! Noticed your premium clinic is scaling up local visibility formats online.,Deep subpage data compilation complete.
JD Eve Clinic - Aesthetics & dental | Valasaravakkam,"Beverly Hills, CA",080158 79551,PENDING_VERIFICATION,PENDING_VERIFICATION,PENDING_VERIFICATION,info@jdeveaesthetics.com,PENDING,THIRU_COLD_CALL,https://jdeveaesthetics.com/,FALSE,TRUE,Hey! Noticed your premium clinic is scaling up local visibility formats online.,Deep subpage data compilation complete.
Dr. Sasikumar T - Free Consultation for Gynecomastia | Liposuction | Eyelid Surgery | Tummy Tuck,"Beverly Hills, CA",080 6510 5079,Kiran Dua,https://www.instagram.com/pristyncare_surgeries/,https://www.linkedin.com/in/harsimarbirsingh/,PENDING_SCRAPE,PENDING,THIRU_COLD_CALL,https://www.pristyncare.com/specialist/dr-sasikumar-t-ihimxgdvnw/?utm_source=gmb&utm_medium=organic&utm_campaign=4506388080730638609&utm_term=doctor&utm_content=website_link,FALSE,TRUE,Hey! Noticed your premium clinic is scaling up local visibility formats online.,Deep subpage data compilation complete.
Yaazh’s Aesthetics,"Beverly Hills, CA",077081 12974,Abiramie Chellamuthu,https://www.instagram.com/yaazhs_aesthetics,https://www.linkedin.com/in/dr-abiramie-chellamuthu-1b90bb62?utm_source=share&utm_campaign=share_via&utm_content=profile&utm_medium=ios_app,yaazhs.aesthetics@gmail.com,PENDING,THIRU_COLD_CALL,https://www.yaazhsaesthetics.com/,FALSE,TRUE,Hey! Noticed your premium clinic is scaling up local visibility formats online.,Deep subpage data compilation complete.
Sri Sai Care And Cure,"Beverly Hills, CA",PENDING_CALL_VERIFICATION,PENDING_VERIFICATION,PENDING_VERIFICATION,PENDING_VERIFICATION,PENDING_SCRAPE,PENDING,BACKLOG_SEQUENCER,,FALSE,FALSE,Hey! Noticed your premium clinic is scaling up local visibility formats online.,Deep subpage data compilation complete.
"CURVES CLINIC - SKIN, HAIR, LASER & PLASTIC SURGERY","Beverly Hills, CA",092452 88129,PENDING_VERIFICATION,PENDING_VERIFICATION,PENDING_VERIFICATION,PENDING_SCRAPE,PENDING,THIRU_COLD_CALL,http://www.skinandplasticsurgery.in/,FALSE,FALSE,Hey! Noticed your premium clinic is scaling up local visibility formats online.,Deep subpage data compilation complete.
"Axel Aesthetics - Facial Plastics, Hair and Aesthetic Medicine","Beverly Hills, CA",097908 10880,Deepak Rajadurai,https://www.instagram.com/axelaesthetics_/,PENDING_VERIFICATION,info@medunit.com,PENDING,THIRU_COLD_CALL,http://axelhealthcare.in/aesthetics,FALSE,FALSE,Hey! Noticed your premium clinic is scaling up local visibility formats online.,Deep subpage data compilation complete.
BM cosmetic and plastic surgery centre | hair transplant in chennai | prp treatment | thread lift | tummy tuck,"Beverly Hills, CA",099520 99620,PENDING_VERIFICATION,PENDING_VERIFICATION,PENDING_VERIFICATION,bmcosmeticlinic@gmail.com,PENDING,THIRU_COLD_CALL,http://www.bmhairtransplant.com/,FALSE,TRUE,Hey! Noticed your premium clinic is scaling up local visibility formats online.,Deep subpage data compilation complete.
The Aesthetic Studio,"Beverly Hills, CA",093612 28737,"Bharathi 
























Accessibility",https://www.instagram.com/aestheticstudioin/,PENDING_VERIFICATION,PENDING_SCRAPE,PENDING,THIRU_COLD_CALL,https://www.aestheticstudio.in/,FALSE,TRUE,Hey! Noticed your premium clinic is scaling up local visibility formats online.,Deep subpage data compilation complete.
Dr Murali K Plastic Surgeon | Lipoma removal | Gynecomastia | Liposuction | Circumcision | Dermal fillers,"Beverly Hills, CA",080725 82121,PENDING_VERIFICATION,PENDING_VERIFICATION,PENDING_VERIFICATION,hello@example.com,PENDING,THIRU_COLD_CALL,https://drmuraliplastic.wordpress.com/,FALSE,FALSE,Hey! Noticed your premium clinic is scaling up local visibility formats online.,Deep subpage data compilation complete.
Chennai Plastic Surgery,"Beverly Hills, CA",096000 58899,Karthik Ram,https://www.instagram.com/chennai_plastic_surgery/,PENDING_VERIFICATION,info@chennaiplasticsurgery.org,PENDING,THIRU_COLD_CALL,https://www.thecosmeticsurgery.org/,TRUE,TRUE,Hey! Noticed your premium clinic is scaling up local visibility formats online.,Deep subpage data compilation complete.
"AesthetiQ: Centre for Plastic, Cosmetic Surgery & Gender Affirmation Surgery","Beverly Hills, CA",091768 77444,PENDING_VERIFICATION,https://www.instagram.com/drcharanjc,PENDING_VERIFICATION,8c4075d5481d476e945486754f783364@sentry.io,PENDING,THIRU_COLD_CALL,http://www.aesthetiqchennai.com/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=7107939459383885854,FALSE,FALSE,Hey! Noticed your premium clinic is scaling up local visibility formats online.,Deep subpage data compilation complete.
Raj Cosmetic & Plastic Surgery Hospital,"Beverly Hills, CA",088383 55534,PENDING_VERIFICATION,https://www.instagram.com/raj_cosmetic_surgery/,PENDING_VERIFICATION,PENDING_SCRAPE,PENDING,THIRU_COLD_CALL,http://www.rajcosmeticsurgery.com/,FALSE,TRUE,Hey! Noticed your premium clinic is scaling up local visibility formats online.,Deep subpage data compilation complete.
Riya Home Spa Outcall Massage Service,"Los Angeles, CA",PENDING_CALL_VERIFICATION,PENDING_VERIFICATION,PENDING_VERIFICATION,PENDING_VERIFICATION,PENDING_SCRAPE,PENDING,BACKLOG_SEQUENCER,,FALSE,FALSE,Hey! Noticed your premium clinic is scaling up local visibility formats online.,Deep subpage data compilation complete.
The cosmetic clinic by Dr.Krithika aka Lipos Cosmetic clinic,"Beverly Hills, CA",099401 72423,Krithika Subburaj,PENDING_VERIFICATION,PENDING_VERIFICATION,cosmeticclinicbydrk@gmail.com,PENDING,THIRU_COLD_CALL,http://www.plasticsurgeondrk.com/,FALSE,TRUE,Hey! Noticed your premium clinic is scaling up local visibility formats online.,Deep subpage data compilation complete.
Tamira Life- Plastic And Cosmetic Surgery In Chennai,"Beverly Hills, CA",1800 3000 1613,"Signup
Shiksha",https://www.instagram.com/tamiraaestheticsindia,PENDING_VERIFICATION,connect@tamiralife.com,PENDING,THIRU_COLD_CALL,https://www.tamiralife.com/,FALSE,TRUE,Hey! Noticed your premium clinic is scaling up local visibility formats online.,Deep subpage data compilation complete.
Amber Wellness (Luxury Family Spa & Salon),"Los Angeles, CA",080781 99999,PENDING_VERIFICATION,PENDING_VERIFICATION,PENDING_VERIFICATION,care@amberwellness.in,PENDING,THIRU_COLD_CALL,http://www.amberwellness.in/,FALSE,FALSE,Hey! Noticed your premium clinic is scaling up local visibility formats online.,Deep subpage data compilation complete.
Dr Sangeetha Jayaraman - Plastic Surgeon in Chennai | Gynecomastia | Tummy Tuck | Liposuction | Breast Surgery,"Beverly Hills, CA",073050 26460,Sangeetha Jayaraman,https://www.instagram.com/drsangeethajayaraman/,PENDING_VERIFICATION,health.inara@gmail.com,PENDING,THIRU_COLD_CALL,https://www.inarahealthcare.com/,FALSE,TRUE,Hey! Noticed your premium clinic is scaling up local visibility formats online.,Deep subpage data compilation complete.
Desire Aesthetics Hospital - Cosmetic & Reconstructive Surgery Hospital,"Beverly Hills, CA",095513 32323,Sivakumar Arumugam,https://www.instagram.com/desireaesthetics.chennai/,PENDING_VERIFICATION,desireaesthetics2015@gmail.com,PENDING,THIRU_COLD_CALL,https://desireaesthetics.co.in/,FALSE,FALSE,Hey! Noticed your premium clinic is scaling up local visibility formats online.,Deep subpage data compilation complete.
Sohum Spa at Feathers - A Radha Hotel,"Los Angeles, CA",044 6677 6847,PENDING_VERIFICATION,PENDING_VERIFICATION,PENDING_VERIFICATION,PENDING_SCRAPE,PENDING,THIRU_COLD_CALL,http://www.sohum-wellness.com/,FALSE,FALSE,Hey! Noticed your premium clinic is scaling up local visibility formats online.,Deep subpage data compilation complete.
"Maynee Skin, Hair & Slimming Clinic","Los Angeles, CA",093848 38505,"Murali
About",PENDING_VERIFICATION,PENDING_VERIFICATION,you@example.com,PENDING,THIRU_COLD_CALL,https://www.maynee.in/,TRUE,TRUE,Hey! Noticed your premium clinic is scaling up local visibility formats online.,Deep subpage data compilation complete.
Grapes day saloon and spa foot reflexology,"Los Angeles, CA",091593 22322,PENDING_VERIFICATION,PENDING_VERIFICATION,PENDING_VERIFICATION,grapesday2025@gmail.com,PENDING,THIRU_COLD_CALL,https://grapesdayspa.in/,FALSE,TRUE,Hey! Noticed your premium clinic is scaling up local visibility formats online.,Deep subpage data compilation complete.
"Dr. Raj Mohan Plastic Surgeon - Gynecomastia, Liposuction & Plastic Surgery Cost in Chennai | Breast Lifting Reduction Doctor","Beverly Hills, CA",097911 12455,Rajiv Choudhrie,PENDING_VERIFICATION,PENDING_VERIFICATION,rajmohan@cosmeticsurgerychennai.in,PENDING,THIRU_COLD_CALL,https://www.drrajmohan.com/,FALSE,FALSE,Hey! Noticed your premium clinic is scaling up local visibility formats online.,Deep subpage data compilation complete.
E SPA Annanagar,"Los Angeles, CA",090476 19191,PENDING_VERIFICATION,PENDING_VERIFICATION,PENDING_VERIFICATION,PENDING_SCRAPE,PENDING,THIRU_COLD_CALL,https://www.espainternational.co.in/,FALSE,TRUE,Hey! Noticed your premium clinic is scaling up local visibility formats online.,Deep subpage data compilation complete.
Ruchi Day Night Spa,"Los Angeles, CA",092969 55570,PENDING_VERIFICATION,PENDING_VERIFICATION,PENDING_VERIFICATION,PENDING_SCRAPE,PENDING,THIRU_COLD_CALL,https://ruchiday.nightspa.online/,FALSE,FALSE,Hey! Noticed your premium clinic is scaling up local visibility formats online.,Deep subpage data compilation complete.
Gliter Day Spa Organic salon and spa for women,"Los Angeles, CA",086109 16305,PENDING_VERIFICATION,PENDING_VERIFICATION,PENDING_VERIFICATION,gliterdayspa@gmail.com,PENDING,THIRU_COLD_CALL,http://www.gliterdayspa.com/,FALSE,FALSE,Hey! Noticed your premium clinic is scaling up local visibility formats online.,Deep subpage data compilation complete.
"Oryza Day Spa & Salon, St Marys Road","Los Angeles, CA",088070 17925,PENDING_VERIFICATION,PENDING_VERIFICATION,PENDING_VERIFICATION,PENDING_SCRAPE,PENDING,MEDUN_DM,http://www.oryzadayspa.com/,FALSE,FALSE,Hey! Noticed your premium clinic is scaling up local visibility formats online.,Deep subpage data compilation complete.
"Akasa Spa at Hilton Hotel, Chennai","Los Angeles, CA",073411 19273,Lipi Pathak,https://www.instagram.com/wix/,PENDING_VERIFICATION,5d1795a2db124a268f1e1bd88f503500@sentry.wixpress.com,PENDING,MEDUN_DM,https://www.akasa.in/locations/luxury-spa-hilton-chennai,FALSE,TRUE,Hey! Noticed your premium clinic is scaling up local visibility formats online.,Deep subpage data compilation complete.
"Reflekt Aesthetics - plastic surgery, Cosmetic surgery and Hair Transplant centre in Chennai","Beverly Hills, CA",090429 97408,Sasi Kumar,https://www.instagram.com/reflekt_aesthetics/,https://www.linkedin.com/in/sasi-kumar-thachinamurthy-120a6657,reflektaesthetics@gmail.com,PENDING,MEDUN_DM,http://reflektaesthetics.com/,FALSE,TRUE,Hey! Noticed your premium clinic is scaling up local visibility formats online.,Deep subpage data compilation complete.
Spring Luxury Day Spa | Best spa in Chennai | Adyar,"Los Angeles, CA",081220 77069,PENDING_VERIFICATION,PENDING_VERIFICATION,PENDING_VERIFICATION,PENDING_SCRAPE,PENDING,MEDUN_DM,https://springluxurydayspa.com/,FALSE,FALSE,Hey! Noticed your premium clinic is scaling up local visibility formats online.,Deep subpage data compilation complete.
Dr Sindhu's Skin Clinic,"Los Angeles, CA",072003 40358,PENDING_VERIFICATION,PENDING_VERIFICATION,PENDING_VERIFICATION,PENDING_SCRAPE,PENDING,MEDUN_DM,,FALSE,FALSE,Hey! Noticed your premium clinic is scaling up local visibility formats online.,Deep subpage data compilation complete.
Dr. Selva Plastic Surgery Clinic - Chennai,"Beverly Hills, CA",099625 17162,Selva Plastic,https://www.instagram.com/selvaplasticsurgery/,PENDING_VERIFICATION,contact@selvaplasticsurgery.in,PENDING,MEDUN_DM,https://selvaplasticsurgery.in/?gmb=Dr+Selva+Plastic+Surgery+Clinic,FALSE,TRUE,Hey! Noticed your premium clinic is scaling up local visibility formats online.,Deep subpage data compilation complete.
Aura Plastic Surgery,"Beverly Hills, CA",094455 78170,Rajendran Purushothaman,https://www.instagram.com/auraplasticsurgery/,PENDING_VERIFICATION,auraplasticsurgery@gmail.com,PENDING,MEDUN_DM,http://www.auraplasticsurgery.com/,FALSE,TRUE,Hey! Noticed your premium clinic is scaling up local visibility formats online.,Deep subpage data compilation complete.
Elysium Spa,"Los Angeles, CA",098846 02999,PENDING_VERIFICATION,PENDING_VERIFICATION,PENDING_VERIFICATION,impallari@gmail.com,PENDING,MEDUN_DM,https://elysiumdayspa.in/,FALSE,FALSE,Hey! Noticed your premium clinic is scaling up local visibility formats online.,Deep subpage data compilation complete.
"Toni&Guy Hairdressing, Ramapuram","Los Angeles, CA",072003 20506,PENDING_VERIFICATION,PENDING_VERIFICATION,PENDING_VERIFICATION,nizam@paulsons.in,PENDING,MEDUN_DM,https://branches.toniandguysalon.in/toniandguy-ramapuram-chennai/tg38/category,FALSE,TRUE,Hey! Noticed your premium clinic is scaling up local visibility formats online.,Deep subpage data compilation complete.
DR SOORIYA'S DERMATOLOGY,"Los Angeles, CA",063693 52255,PENDING_VERIFICATION,PENDING_VERIFICATION,PENDING_VERIFICATION,PENDING_SCRAPE,PENDING,MEDUN_DM,,FALSE,FALSE,Hey! Noticed your premium clinic is scaling up local visibility formats online.,Deep subpage data compilation complete.
"A.S.K RADIANCE Skin, Hair & LASER Clinic. DR.RADHA SATHISH M.B.B.S, M.D","Los Angeles, CA",096001 18585,PENDING_VERIFICATION,PENDING_VERIFICATION,PENDING_VERIFICATION,PENDING_SCRAPE,PENDING,MEDUN_DM,,FALSE,FALSE,Hey! Noticed your premium clinic is scaling up local visibility formats online.,Deep subpage data compilation complete.
Green unisex Salon and Spa - Valasaravakkam,"Los Angeles, CA",098404 84443,PENDING_VERIFICATION,PENDING_VERIFICATION,PENDING_VERIFICATION,greendayspanew@gmail.com,PENDING,MEDUN_DM,http://greendayspanew.in/,FALSE,TRUE,Hey! Noticed your premium clinic is scaling up local visibility formats online.,Deep subpage data compilation complete.
Green Day Spa Porur,"Los Angeles, CA",099629 09096,PENDING_VERIFICATION,PENDING_VERIFICATION,PENDING_VERIFICATION,greendayspa@gmail.com,PENDING,MEDUN_DM,https://greendayspa.com/our-branch/massage-spa-in-chennai/massage-spa-in-porur,FALSE,TRUE,Hey! Noticed your premium clinic is scaling up local visibility formats online.,Deep subpage data compilation complete.
MAIGA SKIN CLINIC,"Los Angeles, CA",090801 47473,PENDING_VERIFICATION,PENDING_VERIFICATION,PENDING_VERIFICATION,PENDING_SCRAPE,PENDING,MEDUN_DM,,FALSE,FALSE,Hey! Noticed your premium clinic is scaling up local visibility formats online.,Deep subpage data compilation complete.
Naturals Salon Manapakkam,"Los Angeles, CA",074483 77766,PENDING_VERIFICATION,PENDING_VERIFICATION,PENDING_VERIFICATION,naturals.mugalivakkam1@gmail.com,PENDING,MEDUN_DM,https://salons.naturals.in/naturals-salon-manapakkam-beauty-salons-parthasarathy-nagar-kanchipuram-488378/Home,TRUE,TRUE,Hey! Noticed your premium clinic is scaling up local visibility formats online.,Deep subpage data compilation complete.
"Dr Lavanya Skin, Hair & Laser Clinic","Los Angeles, CA",096262 62945,Lavanya Skin,PENDING_VERIFICATION,PENDING_VERIFICATION,lavanya.cosmet@gmail.com,PENDING,MEDUN_DM,https://chennaiskinhairclinic.com/,FALSE,FALSE,Hey! Noticed your premium clinic is scaling up local visibility formats online.,Deep subpage data compilation complete.
"Dr Aarthi Sathishkumar, Auroraa skin & cosmetic clinic, (Best Dermatologist in Chennai)","Los Angeles, CA",073584 82220,Aarthis Skin,PENDING_VERIFICATION,PENDING_VERIFICATION,enquiry@draarthisskinhairaesthetics.com,PENDING,MEDUN_DM,https://draarthisskinhairaesthetics.com/,FALSE,FALSE,Hey! Noticed your premium clinic is scaling up local visibility formats online.,Deep subpage data compilation complete.
Dr Gupta's Hospital Main Branch,"Los Angeles, CA",098414 78255,PENDING_VERIFICATION,PENDING_VERIFICATION,PENDING_VERIFICATION,PENDING_SCRAPE,PENDING,MEDUN_DM,,FALSE,FALSE,Hey! Noticed your premium clinic is scaling up local visibility formats online.,Deep subpage data compilation complete.
"PRIMA Skin and Aesthetics - Dr.Mokanalakshmi R M, MBBS, MD(DVL), DNB(DVL)","Los Angeles, CA",080159 97657,PENDING_VERIFICATION,PENDING_VERIFICATION,PENDING_VERIFICATION,PENDING_SCRAPE,PENDING,MEDUN_DM,,FALSE,FALSE,Hey! Noticed your premium clinic is scaling up local visibility formats online.,Deep subpage data compilation complete.
Dr.Vinoth Kumar D | Plastic Surgery,"Beverly Hills, CA",PENDING_CALL_VERIFICATION,Book Appointment,https://www.instagram.com/kauveryhospital/,PENDING_VERIFICATION,PENDING_SCRAPE,PENDING,BACKLOG_SEQUENCER,https://www.kauveryhospital.com/doctors/chennai-vadapalani/plastic-surgery/dr-vinoth-kumar-d/,TRUE,TRUE,Hey! Noticed your premium clinic is scaling up local visibility formats online.,Deep subpage data compilation complete.
SKYN Clinic – Best skin clinic in Chennai | Laser Skin Treatment,"Los Angeles, CA",099444 97333,Yamini Krishnasamy,PENDING_VERIFICATION,PENDING_VERIFICATION,skyncareclinic@gmail.com,PENDING,MEDUN_DM,https://skyncareclinic.com/,FALSE,TRUE,Hey! Noticed your premium clinic is scaling up local visibility formats online.,Deep subpage data compilation complete.
"V Cure Clinic (Best Ortho ,Physiotherapy ,Skin, Hair and cosmetology clinic) - Ramapuram - Chennai","Los Angeles, CA",072000 15015,Tilak Raj,PENDING_VERIFICATION,PENDING_VERIFICATION,vcureclinic1604@gmail.com,PENDING,MEDUN_DM,https://www.vcureclinicchennai.com/,FALSE,FALSE,Hey! Noticed your premium clinic is scaling up local visibility formats online.,Deep subpage data compilation complete.
"Genesis Dermatology Skin & Hair clinic - Laser Hair Removal, Skin Whitening, Hair PRP, Acne Scars in Ashok Nagar Chennai","Los Angeles, CA",099977 76848,Daniel Raja,PENDING_VERIFICATION,PENDING_VERIFICATION,PENDING_SCRAPE,PENDING,MEDUN_DM,https://genesis-skin-hair.com/?utm_source=google_profile&utm_campaign=localo&utm_medium=mainlink,TRUE,TRUE,Hey! Noticed your premium clinic is scaling up local visibility formats online.,Deep subpage data compilation complete.
Ashlee SPA | Ampa Skyone,"Los Angeles, CA",098945 46950,PENDING_VERIFICATION,PENDING_VERIFICATION,PENDING_VERIFICATION,office@ashleespa.com,PENDING,MEDUN_DM,https://www.ashleespa.com/,TRUE,TRUE,Hey! Noticed your premium clinic is scaling up local visibility formats online.,Deep subpage data compilation complete.
Skinmatics Chennai,"Los Angeles, CA",089703 77731,PENDING_VERIFICATION,https://www.instagram.com/skinmatics.in,PENDING_VERIFICATION,dermaclear@example.com,PENDING,MEDUN_DM,https://skinmatics.in/,FALSE,TRUE,Hey! Noticed your premium clinic is scaling up local visibility formats online.,Deep subpage data compilation complete.
J's Skin care and Laser Clinic,"Los Angeles, CA",096006 94059,PENDING_VERIFICATION,PENDING_VERIFICATION,PENDING_VERIFICATION,info@jskincareclinic.com,PENDING,MEDUN_DM,http://www.jskincareclinic.com/,FALSE,TRUE,Hey! Noticed your premium clinic is scaling up local visibility formats online.,Deep subpage data compilation complete.
Dr. Aarthi's Skin Hair Aesthetics,"Los Angeles, CA",073584 82220,Aarthis Skin,PENDING_VERIFICATION,PENDING_VERIFICATION,enquiry@draarthisskinhairaesthetics.com,PENDING,MEDUN_DM,https://draarthisskinhairaesthetics.com/,FALSE,FALSE,Hey! Noticed your premium clinic is scaling up local visibility formats online.,Deep subpage data compilation complete.
Dr. Narayanan A Dermatologist,"Los Angeles, CA",090808 62264,Kamakshi Memorial,PENDING_VERIFICATION,PENDING_VERIFICATION,5d1795a2db124a268f1e1bd88f503500@sentry.wixpress.com,PENDING,MEDUN_DM,https://www.skinclinicchennai.in/apollo-valasaravakkam,FALSE,FALSE,Hey! Noticed your premium clinic is scaling up local visibility formats online.,Deep subpage data compilation complete.
Vesta Skin & Hair Clinic | Porur,"Los Angeles, CA",PENDING_CALL_VERIFICATION,"Uma


Services",https://www.instagram.com/_vestaskin_/,PENDING_VERIFICATION,admin@vestaskin.com,PENDING,BACKLOG_SEQUENCER,https://vestaskin.com/,TRUE,TRUE,Hey! Noticed your premium clinic is scaling up local visibility formats online.,Deep subpage data compilation complete.
Eloraa cliniq,"Los Angeles, CA",097899 89898,PENDING_VERIFICATION,PENDING_VERIFICATION,PENDING_VERIFICATION,Dr.chandhini@eloraacliniq.com,PENDING,MEDUN_DM,http://www.eloraacliniq.com/,FALSE,TRUE,Hey! Noticed your premium clinic is scaling up local visibility formats online.,Deep subpage data compilation complete.
